Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,CTR,CPC,SQL_format
4184,DataTech Solutions,Display,Men 25-34,60 days,Email,0.12,8421,3.38,Houston,French,466,5689,1,Foodies,18-06-2021,47.38%,12.75,"(4184,'DataTech Solutions','Display','Men 25-34','60 days','Email',0.12,8421,3.38,'Houston','French',466,5689,1,'Foodies','2021-06-18',0.473816717019134,12.7492029755579)"
4185,Alpha Innovations,Search,Women 25-34,60 days,Email,0.06,7569,4.04,New York,German,599,3805,9,Health & Wellness,19-06-2021,8.19%,18.07,"(4185,'Alpha Innovations','Search','Women 25-34','60 days','Email',0.06,7569,4.04,'New York','German',599,3805,9,'Health & Wellness','2021-06-19',0.0819124626472139,18.0708154506438)"
4186,NexGen Systems,Search,Men 18-24,45 days,Instagram,0.11,16535,3.02,New York,German,122,7488,10,Health & Wellness,20-06-2021,15.74%,12.64,"(4186,'NexGen Systems','Search','Men 18-24','45 days','Instagram',0.11,16535,3.02,'New York','German',122,7488,10,'Health & Wellness','2021-06-20',0.15742444152431,12.6360601001669)"
4187,DataTech Solutions,Display,All Ages,15 days,Email,0.06,7599,5.26,Chicago,Mandarin,712,9733,1,Tech Enthusiasts,21-06-2021,1.63%,135.53,"(4187,'DataTech Solutions','Display','All Ages','15 days','Email',0.06,7599,5.26,'Chicago','Mandarin',712,9733,1,'Tech Enthusiasts','2021-06-21',0.016292735042735,135.532786885246)"
4188,Innovate Industries,Display,All Ages,30 days,Facebook,0.08,15125,2.48,Houston,German,169,4112,4,Foodies,22-06-2021,7.32%,10.67,"(4188,'Innovate Industries','Display','All Ages','30 days','Facebook',0.08,15125,2.48,'Houston','German',169,4112,4,'Foodies','2021-06-22',0.0731531901777458,10.6727528089888)"
4189,TechCorp,Search,Women 25-34,15 days,Instagram,0.14,8137,2.39,Chicago,French,373,6230,6,Outdoor Adventurers,23-06-2021,4.11%,89.5,"(4189,'TechCorp','Search','Women 25-34','15 days','Instagram',0.14,8137,2.39,'Chicago','French',373,6230,6,'Outdoor Adventurers','2021-06-23',0.0410992217898833,89.4970414201184)"
4190,NexGen Systems,Search,Men 18-24,60 days,Facebook,0.05,19452,4.48,Miami,English,445,3133,2,Foodies,24-06-2021,5.99%,21.82,"(4190,'NexGen Systems','Search','Men 18-24','60 days','Facebook',0.05,19452,4.48,'Miami','English',445,3133,2,'Foodies','2021-06-24',0.0598715890850722,21.8150134048257)"
4191,NexGen Systems,Display,Women 35-44,60 days,Website,0.06,6740,2.89,New York,English,593,4152,4,Fashionistas,25-06-2021,14.20%,43.71,"(4191,'NexGen Systems','Display','Women 35-44','60 days','Website',0.06,6740,2.89,'New York','English',593,4152,4,'Fashionistas','2021-06-25',0.142036386849665,43.7123595505618)"
4192,Innovate Industries,Search,All Ages,30 days,Facebook,0.1,19507,6.56,Houston,French,537,6749,10,Tech Enthusiasts,26-06-2021,14.28%,11.37,"(4192,'Innovate Industries','Search','All Ages','30 days','Facebook',0.1,19507,6.56,'Houston','French',537,6749,10,'Tech Enthusiasts','2021-06-26',0.142822736030829,11.3659359190556)"
4193,TechCorp,Influencer,Men 25-34,45 days,Google Ads,0.08,10648,7.87,Los Angeles,English,401,7094,5,Fashionistas,27-06-2021,7.96%,36.33,"(4193,'TechCorp','Influencer','Men 25-34','45 days','Google Ads',0.08,10648,7.87,'Los Angeles','English',401,7094,5,'Fashionistas','2021-06-27',0.07956734331012,36.3258845437616)"
4194,TechCorp,Search,Women 35-44,30 days,YouTube,0.1,18643,6.74,Chicago,French,892,2888,7,Health & Wellness,28-06-2021,5.65%,26.55,"(4194,'TechCorp','Search','Women 35-44','30 days','YouTube',0.1,18643,6.74,'Chicago','French',892,2888,7,'Health & Wellness','2021-06-28',0.0565266422328728,26.5536159600998)"
4195,TechCorp,Email,Men 25-34,45 days,Facebook,0.08,7804,3.75,Houston,French,402,4662,3,Health & Wellness,29-06-2021,30.89%,20.9,"(4195,'TechCorp','Email','Men 25-34','45 days','Facebook',0.08,7804,3.75,'Houston','French',402,4662,3,'Health & Wellness','2021-06-29',0.308864265927978,20.9002242152466)"
4196,DataTech Solutions,Email,Women 25-34,15 days,Instagram,0.01,7395,2.01,New York,French,383,7248,6,Foodies,30-06-2021,8.62%,19.41,"(4196,'DataTech Solutions','Email','Women 25-34','15 days','Instagram',0.01,7395,2.01,'New York','French',383,7248,6,'Foodies','2021-06-30',0.0862290862290862,19.4129353233831)"
4197,Innovate Industries,Display,Men 25-34,60 days,Email,0.13,13122,5.89,Chicago,Mandarin,530,6444,7,Foodies,01-07-2021,5.28%,19.31,"(4197,'Innovate Industries','Display','Men 25-34','60 days','Email',0.13,13122,5.89,'Chicago','Mandarin',530,6444,7,'Foodies','2021-07-01',0.0528421633554084,19.3080939947781)"
4198,TechCorp,Display,Women 35-44,30 days,Facebook,0.15,8628,5.38,New York,Spanish,471,8081,4,Tech Enthusiasts,02-07-2021,8.22%,24.76,"(4198,'TechCorp','Display','Women 35-44','30 days','Facebook',0.15,8628,5.38,'New York','Spanish',471,8081,4,'Tech Enthusiasts','2021-07-02',0.0822470515207945,24.7584905660377)"
4199,TechCorp,Search,Men 25-34,60 days,YouTube,0.05,10154,7.04,Chicago,Mandarin,257,2082,10,Tech Enthusiasts,03-07-2021,5.83%,18.32,"(4199,'TechCorp','Search','Men 25-34','60 days','YouTube',0.05,10154,7.04,'Chicago','Mandarin',257,2082,10,'Tech Enthusiasts','2021-07-03',0.0582848657344388,18.3184713375796)"
4200,TechCorp,Search,Men 18-24,45 days,YouTube,0.14,5007,3.6,Miami,English,311,7766,4,Tech Enthusiasts,04-07-2021,12.34%,39.51,"(4200,'TechCorp','Search','Men 18-24','45 days','YouTube',0.14,5007,3.6,'Miami','English',311,7766,4,'Tech Enthusiasts','2021-07-04',0.123439000960615,39.5097276264591)"
4201,DataTech Solutions,Search,All Ages,60 days,Instagram,0.1,15330,4.79,Chicago,Spanish,635,1921,5,Fashionistas,05-07-2021,4.00%,16.1,"(4201,'DataTech Solutions','Search','All Ages','60 days','Instagram',0.1,15330,4.79,'Chicago','Spanish',635,1921,5,'Fashionistas','2021-07-05',0.0400463559103786,16.0996784565916)"
4202,Innovate Industries,Email,Men 18-24,60 days,Instagram,0.14,16917,4.06,Chicago,German,662,6649,5,Foodies,06-07-2021,33.06%,24.14,"(4202,'Innovate Industries','Email','Men 18-24','60 days','Instagram',0.14,16917,4.06,'Chicago','German',662,6649,5,'Foodies','2021-07-06',0.330557001561687,24.1417322834646)"
4203,DataTech Solutions,Search,Men 25-34,60 days,Instagram,0.05,12857,2.34,Los Angeles,English,352,1275,2,Outdoor Adventurers,07-07-2021,9.96%,25.55,"(4203,'DataTech Solutions','Search','Men 25-34','60 days','Instagram',0.05,12857,2.34,'Los Angeles','English',352,1275,2,'Outdoor Adventurers','2021-07-07',0.0995638441870958,25.5543806646526)"
4204,Innovate Industries,Social Media,Women 25-34,45 days,YouTube,0.01,18630,4.46,Los Angeles,English,478,9310,6,Outdoor Adventurers,08-07-2021,27.61%,36.53,"(4204,'Innovate Industries','Social Media','Women 25-34','45 days','YouTube',0.01,18630,4.46,'Los Angeles','English',478,9310,6,'Outdoor Adventurers','2021-07-08',0.276078431372549,36.5255681818182)"
4205,Alpha Innovations,Influencer,Women 35-44,45 days,Email,0.1,13645,4.86,Miami,French,829,1113,4,Tech Enthusiasts,09-07-2021,5.13%,38.97,"(4205,'Alpha Innovations','Influencer','Women 35-44','45 days','Email',0.1,13645,4.86,'Miami','French',829,1113,4,'Tech Enthusiasts','2021-07-09',0.0513426423200859,38.9748953974895)"
4206,Alpha Innovations,Influencer,Men 18-24,15 days,Email,0.11,15134,6.63,Los Angeles,Mandarin,976,6816,5,Health & Wellness,10-07-2021,74.48%,16.46,"(4206,'Alpha Innovations','Influencer','Men 18-24','15 days','Email',0.11,15134,6.63,'Los Angeles','Mandarin',976,6816,5,'Health & Wellness','2021-07-10',0.744833782569632,16.45958986731)"
4207,Alpha Innovations,Display,Women 35-44,45 days,Facebook,0.01,18580,7.02,Houston,German,787,3100,5,Tech Enthusiasts,11-07-2021,14.32%,15.51,"(4207,'Alpha Innovations','Display','Women 35-44','45 days','Facebook',0.01,18580,7.02,'Houston','German',787,3100,5,'Tech Enthusiasts','2021-07-11',0.143192488262911,15.5061475409836)"
4208,Alpha Innovations,Influencer,Women 35-44,30 days,Google Ads,0.02,6250,2.19,Houston,French,681,8052,9,Tech Enthusiasts,12-07-2021,25.39%,23.61,"(4208,'Alpha Innovations','Influencer','Women 35-44','30 days','Google Ads',0.02,6250,2.19,'Houston','French',681,8052,9,'Tech Enthusiasts','2021-07-12',0.253870967741935,23.6086404066074)"
4209,Alpha Innovations,Email,All Ages,30 days,Facebook,0.12,12045,4.45,Los Angeles,Mandarin,671,1427,10,Fashionistas,13-07-2021,8.46%,9.18,"(4209,'Alpha Innovations','Email','All Ages','30 days','Facebook',0.12,12045,4.45,'Los Angeles','Mandarin',671,1427,10,'Fashionistas','2021-07-13',0.084575260804769,9.1776798825257)"
4210,DataTech Solutions,Influencer,Women 25-34,30 days,Facebook,0.03,9174,2.51,Miami,Spanish,815,3750,4,Tech Enthusiasts,14-07-2021,47.02%,17.95,"(4210,'DataTech Solutions','Influencer','Women 25-34','30 days','Facebook',0.03,9174,2.51,'Miami','Spanish',815,3750,4,'Tech Enthusiasts','2021-07-14',0.470217238962859,17.9508196721311)"
4211,TechCorp,Display,All Ages,15 days,YouTube,0.12,5617,3.91,Houston,English,484,8033,5,Fashionistas,15-07-2021,21.73%,11.26,"(4211,'TechCorp','Display','All Ages','15 days','YouTube',0.12,5617,3.91,'Houston','English',484,8033,5,'Fashionistas','2021-07-15',0.217333333333333,11.2564417177914)"
4212,TechCorp,Influencer,Women 25-34,45 days,Instagram,0.11,10048,4.43,New York,Mandarin,411,9400,7,Health & Wellness,16-07-2021,6.03%,11.61,"(4212,'TechCorp','Influencer','Women 25-34','45 days','Instagram',0.11,10048,4.43,'New York','Mandarin',411,9400,7,'Health & Wellness','2021-07-16',0.0602514627162953,11.6053719008264)"
4213,NexGen Systems,Display,Men 25-34,15 days,Instagram,0.06,16406,7.45,Miami,French,455,2607,1,Health & Wellness,17-07-2021,4.37%,24.45,"(4213,'NexGen Systems','Display','Men 25-34','15 days','Instagram',0.06,16406,7.45,'Miami','French',455,2607,1,'Health & Wellness','2021-07-17',0.0437234042553191,24.4476885644769)"
4214,DataTech Solutions,Display,Women 25-34,60 days,Email,0.03,15443,3.07,Miami,Spanish,575,1221,1,Fashionistas,18-07-2021,17.45%,36.06,"(4214,'DataTech Solutions','Display','Women 25-34','60 days','Email',0.03,15443,3.07,'Miami','Spanish',575,1221,1,'Fashionistas','2021-07-18',0.174530111238972,36.0571428571429)"
4215,Alpha Innovations,Influencer,Women 25-34,45 days,Google Ads,0.03,19332,6.41,Los Angeles,English,303,1046,8,Fashionistas,19-07-2021,47.09%,26.86,"(4215,'Alpha Innovations','Influencer','Women 25-34','45 days','Google Ads',0.03,19332,6.41,'Los Angeles','English',303,1046,8,'Fashionistas','2021-07-19',0.470925470925471,26.8573913043478)"
4216,Alpha Innovations,Display,Men 25-34,45 days,Website,0.07,6540,4.66,New York,English,281,9590,9,Outdoor Adventurers,20-07-2021,28.97%,63.8,"(4216,'Alpha Innovations','Display','Men 25-34','45 days','Website',0.07,6540,4.66,'New York','English',281,9590,9,'Outdoor Adventurers','2021-07-20',0.289674952198853,63.8019801980198)"
4217,Alpha Innovations,Social Media,Women 35-44,30 days,Facebook,0.09,8222,2.42,Miami,French,549,8103,4,Tech Enthusiasts,21-07-2021,2.93%,23.27,"(4217,'Alpha Innovations','Social Media','Women 35-44','30 days','Facebook',0.09,8222,2.42,'Miami','French',549,8103,4,'Tech Enthusiasts','2021-07-21',0.0293013555787278,23.2740213523132)"
4218,NexGen Systems,Influencer,Men 18-24,30 days,Google Ads,0.07,15535,2.66,New York,German,877,2225,8,Outdoor Adventurers,22-07-2021,6.78%,14.98,"(4218,'NexGen Systems','Influencer','Men 18-24','30 days','Google Ads',0.07,15535,2.66,'New York','German',877,2225,8,'Outdoor Adventurers','2021-07-22',0.0677526841910404,14.976320582878)"
4219,NexGen Systems,Email,Men 18-24,45 days,Email,0.08,11012,2.54,Los Angeles,English,390,9983,10,Tech Enthusiasts,23-07-2021,39.42%,17.71,"(4219,'NexGen Systems','Email','Men 18-24','45 days','Email',0.08,11012,2.54,'Los Angeles','English',390,9983,10,'Tech Enthusiasts','2021-07-23',0.394157303370787,17.7137970353478)"
4220,DataTech Solutions,Display,Women 25-34,60 days,Website,0.15,14232,6.45,Chicago,Mandarin,473,4302,5,Outdoor Adventurers,24-07-2021,3.91%,28.24,"(4220,'DataTech Solutions','Display','Women 25-34','60 days','Website',0.15,14232,6.45,'Chicago','Mandarin',473,4302,5,'Outdoor Adventurers','2021-07-24',0.0390664129019333,28.2358974358974)"
4221,Innovate Industries,Email,All Ages,30 days,Instagram,0.13,8268,7.06,Los Angeles,German,728,2403,10,Fashionistas,25-07-2021,10.99%,30.09,"(4221,'Innovate Industries','Email','All Ages','30 days','Instagram',0.13,8268,7.06,'Los Angeles','German',728,2403,10,'Fashionistas','2021-07-25',0.109948860994886,30.0887949260042)"
4222,Innovate Industries,Email,All Ages,60 days,YouTube,0.11,11792,3.49,Los Angeles,English,421,2152,9,Tech Enthusiasts,26-07-2021,30.30%,11.36,"(4222,'Innovate Industries','Email','All Ages','60 days','YouTube',0.11,11792,3.49,'Los Angeles','English',421,2152,9,'Tech Enthusiasts','2021-07-26',0.302954640033292,11.3571428571429)"
4223,TechCorp,Influencer,Men 25-34,15 days,Google Ads,0.02,15657,4.23,Houston,Mandarin,918,6710,7,Health & Wellness,27-07-2021,19.56%,28.01,"(4223,'TechCorp','Influencer','Men 25-34','15 days','Google Ads',0.02,15657,4.23,'Houston','Mandarin',918,6710,7,'Health & Wellness','2021-07-27',0.195631970260223,28.0095011876485)"
4224,TechCorp,Search,All Ages,60 days,Instagram,0.12,6537,7.26,Chicago,English,345,3629,10,Fashionistas,28-07-2021,13.68%,17.06,"(4224,'TechCorp','Search','All Ages','60 days','Instagram',0.12,6537,7.26,'Chicago','English',345,3629,10,'Fashionistas','2021-07-28',0.136810730253353,17.0555555555556)"
4225,NexGen Systems,Influencer,Men 18-24,30 days,Website,0.14,19732,7.3,Miami,Spanish,179,6301,2,Foodies,29-07-2021,9.51%,18.95,"(4225,'NexGen Systems','Influencer','Men 18-24','30 days','Website',0.14,19732,7.3,'Miami','Spanish',179,6301,2,'Foodies','2021-07-29',0.0950675117112152,18.9478260869565)"
4226,NexGen Systems,Email,All Ages,45 days,Website,0.02,15572,4,Chicago,Mandarin,182,4940,8,Health & Wellness,30-07-2021,2.84%,110.23,"(4226,'NexGen Systems','Email','All Ages','45 days','Website',0.02,15572,4,'Chicago','Mandarin',182,4940,8,'Health & Wellness','2021-07-30',0.0284081891763212,110.234636871508)"
4227,Innovate Industries,Email,Men 25-34,45 days,YouTube,0.12,14855,7.35,Los Angeles,English,161,8337,9,Health & Wellness,31-07-2021,3.68%,85.56,"(4227,'Innovate Industries','Email','Men 25-34','45 days','YouTube',0.12,14855,7.35,'Los Angeles','English',161,8337,9,'Health & Wellness','2021-07-31',0.0368421052631579,85.5604395604396)"
4228,Innovate Industries,Display,All Ages,60 days,Website,0.14,8560,5.52,Los Angeles,German,710,8806,8,Outdoor Adventurers,01-08-2021,1.93%,92.27,"(4228,'Innovate Industries','Display','All Ages','60 days','Website',0.14,8560,5.52,'Los Angeles','German',710,8806,8,'Outdoor Adventurers','2021-08-01',0.019311502938707,92.2670807453416)"
4229,Innovate Industries,Search,Women 35-44,15 days,YouTube,0.02,15178,3.13,Miami,Spanish,740,9462,2,Tech Enthusiasts,02-08-2021,8.06%,12.06,"(4229,'Innovate Industries','Search','Women 35-44','15 days','YouTube',0.02,15178,3.13,'Miami','Spanish',740,9462,2,'Tech Enthusiasts','2021-08-02',0.0806268453327277,12.056338028169)"
4230,DataTech Solutions,Email,All Ages,45 days,Email,0.08,16807,7.49,Chicago,French,290,9901,5,Foodies,03-08-2021,7.82%,20.51,"(4230,'DataTech Solutions','Email','All Ages','45 days','Email',0.08,16807,7.49,'Chicago','French',290,9901,5,'Foodies','2021-08-03',0.0782075671105475,20.5108108108108)"
4231,TechCorp,Search,All Ages,60 days,YouTube,0.14,13139,4.45,Miami,French,560,6852,5,Foodies,04-08-2021,2.93%,57.96,"(4231,'TechCorp','Search','All Ages','60 days','YouTube',0.14,13139,4.45,'Miami','French',560,6852,5,'Foodies','2021-08-04',0.0292899707100293,57.9551724137931)"
4232,DataTech Solutions,Social Media,Men 25-34,15 days,Google Ads,0.11,12191,3.54,Los Angeles,English,677,2146,1,Foodies,05-08-2021,8.17%,23.46,"(4232,'DataTech Solutions','Social Media','Men 25-34','15 days','Google Ads',0.11,12191,3.54,'Los Angeles','English',677,2146,1,'Foodies','2021-08-05',0.0817279626386457,23.4625)"
4233,DataTech Solutions,Search,Women 35-44,45 days,Email,0.09,6953,6.61,New York,English,829,5177,10,Outdoor Adventurers,06-08-2021,31.55%,18.01,"(4233,'DataTech Solutions','Search','Women 35-44','45 days','Email',0.09,6953,6.61,'New York','English',829,5177,10,'Outdoor Adventurers','2021-08-06',0.31547064305685,18.0073855243722)"
4234,DataTech Solutions,Influencer,Men 25-34,15 days,Email,0.14,16829,6.14,Houston,French,275,2728,2,Foodies,07-08-2021,16.01%,8.39,"(4234,'DataTech Solutions','Influencer','Men 25-34','15 days','Email',0.14,16829,6.14,'Houston','French',275,2728,2,'Foodies','2021-08-07',0.16013135020282,8.38721351025332)"
4235,DataTech Solutions,Social Media,Men 25-34,15 days,Google Ads,0.11,9799,3.99,Chicago,Mandarin,674,3975,9,Fashionistas,08-08-2021,10.08%,61.2,"(4235,'DataTech Solutions','Social Media','Men 25-34','15 days','Google Ads',0.11,9799,3.99,'Chicago','Mandarin',674,3975,9,'Fashionistas','2021-08-08',0.100806451612903,61.1963636363636)"
4236,TechCorp,Search,Women 25-34,30 days,YouTube,0.08,15970,7.81,Houston,Mandarin,544,4071,6,Tech Enthusiasts,09-08-2021,16.96%,14.54,"(4236,'TechCorp','Search','Women 25-34','30 days','YouTube',0.08,15970,7.81,'Houston','Mandarin',544,4071,6,'Tech Enthusiasts','2021-08-09',0.169559748427673,14.5385756676558)"
4237,Alpha Innovations,Email,Women 35-44,45 days,Google Ads,0.05,19291,7.2,Los Angeles,Mandarin,806,1453,1,Tech Enthusiasts,10-08-2021,13.36%,29.36,"(4237,'Alpha Innovations','Email','Women 35-44','45 days','Google Ads',0.05,19291,7.2,'Los Angeles','Mandarin',806,1453,1,'Tech Enthusiasts','2021-08-10',0.133628101203635,29.3566176470588)"
4238,TechCorp,Email,Men 18-24,30 days,YouTube,0.05,12934,7.82,Houston,Mandarin,994,6303,3,Tech Enthusiasts,11-08-2021,55.47%,23.93,"(4238,'TechCorp','Email','Men 18-24','30 days','YouTube',0.05,12934,7.82,'Houston','Mandarin',994,6303,3,'Tech Enthusiasts','2021-08-11',0.554714384033035,23.9342431761787)"
4239,NexGen Systems,Social Media,Men 25-34,30 days,YouTube,0.1,7835,5.92,Houston,English,919,2214,1,Tech Enthusiasts,12-08-2021,15.77%,13.01,"(4239,'NexGen Systems','Social Media','Men 25-34','30 days','YouTube',0.1,7835,5.92,'Houston','English',919,2214,1,'Tech Enthusiasts','2021-08-12',0.157702681262891,13.0120724346076)"
4240,DataTech Solutions,Search,Men 18-24,45 days,Email,0.03,19271,7.46,Los Angeles,French,868,5872,5,Outdoor Adventurers,13-08-2021,41.51%,8.53,"(4240,'DataTech Solutions','Search','Men 18-24','45 days','Email',0.03,19271,7.46,'Los Angeles','French',868,5872,5,'Outdoor Adventurers','2021-08-13',0.415085817524842,8.52557127312296)"
4241,TechCorp,Display,Women 25-34,15 days,Website,0.1,17955,6.15,Los Angeles,Mandarin,676,1174,8,Foodies,14-08-2021,14.78%,22.2,"(4241,'TechCorp','Display','Women 25-34','15 days','Website',0.1,17955,6.15,'Los Angeles','Mandarin',676,1174,8,'Foodies','2021-08-14',0.147820163487738,22.2016129032258)"
4242,TechCorp,Search,All Ages,45 days,Google Ads,0.11,18903,3.64,Miami,French,183,7663,2,Fashionistas,15-08-2021,57.58%,26.56,"(4242,'TechCorp','Search','All Ages','45 days','Google Ads',0.11,18903,3.64,'Miami','French',183,7663,2,'Fashionistas','2021-08-15',0.575809199318569,26.560650887574)"
4243,Innovate Industries,Influencer,Men 25-34,15 days,Google Ads,0.08,10551,4.87,Chicago,French,104,3427,7,Foodies,16-08-2021,2.39%,103.3,"(4243,'Innovate Industries','Influencer','Men 25-34','15 days','Google Ads',0.08,10551,4.87,'Chicago','French',104,3427,7,'Foodies','2021-08-16',0.023880986558789,103.295081967213)"
4244,NexGen Systems,Email,Men 25-34,45 days,Website,0.1,9561,2.16,Miami,Spanish,742,3883,7,Foodies,17-08-2021,3.03%,101.45,"(4244,'NexGen Systems','Email','Men 25-34','45 days','Website',0.1,9561,2.16,'Miami','Spanish',742,3883,7,'Foodies','2021-08-17',0.0303472424861395,101.451923076923)"
4245,DataTech Solutions,Search,Women 35-44,60 days,Google Ads,0.1,14218,2.05,Miami,Spanish,354,2111,4,Tech Enthusiasts,18-08-2021,19.11%,12.89,"(4245,'DataTech Solutions','Search','Women 35-44','60 days','Google Ads',0.1,14218,2.05,'Miami','Spanish',354,2111,4,'Tech Enthusiasts','2021-08-18',0.191089363893896,12.8854447439353)"
4246,DataTech Solutions,Search,Women 35-44,30 days,YouTube,0.11,6339,4.73,Los Angeles,French,623,8066,2,Foodies,19-08-2021,16.77%,40.16,"(4246,'DataTech Solutions','Search','Women 35-44','30 days','YouTube',0.11,6339,4.73,'Los Angeles','French',623,8066,2,'Foodies','2021-08-19',0.167693036475604,40.1638418079096)"
4247,Innovate Industries,Social Media,Men 18-24,15 days,Instagram,0.07,17938,4.38,Los Angeles,German,902,8093,2,Tech Enthusiasts,20-08-2021,7.72%,10.17,"(4247,'Innovate Industries','Social Media','Men 18-24','15 days','Instagram',0.07,17938,4.38,'Los Angeles','German',902,8093,2,'Tech Enthusiasts','2021-08-20',0.0772377882469626,10.1749598715891)"
4248,Alpha Innovations,Social Media,Women 35-44,15 days,Facebook,0.01,16794,2.75,Houston,Spanish,726,2651,10,Outdoor Adventurers,21-08-2021,11.15%,19.89,"(4248,'Alpha Innovations','Social Media','Women 35-44','15 days','Facebook',0.01,16794,2.75,'Houston','Spanish',726,2651,10,'Outdoor Adventurers','2021-08-21',0.111454343259607,19.8869179600887)"
4249,Alpha Innovations,Social Media,Women 25-34,45 days,Google Ads,0.09,6137,5.99,Los Angeles,German,361,9309,9,Outdoor Adventurers,22-08-2021,27.39%,23.13,"(4249,'Alpha Innovations','Social Media','Women 25-34','45 days','Google Ads',0.09,6137,5.99,'Los Angeles','German',361,9309,9,'Outdoor Adventurers','2021-08-22',0.273858921161826,23.1322314049587)"
4250,TechCorp,Influencer,Men 18-24,60 days,Facebook,0.1,18487,6.28,Chicago,English,428,9345,9,Tech Enthusiasts,23-08-2021,3.88%,17,"(4250,'TechCorp','Influencer','Men 18-24','60 days','Facebook',0.1,18487,6.28,'Chicago','English',428,9345,9,'Tech Enthusiasts','2021-08-23',0.0387796755827694,17)"
4251,TechCorp,Search,Men 18-24,30 days,Website,0.13,17722,4.74,Los Angeles,Spanish,178,8376,9,Health & Wellness,24-08-2021,4.58%,43.19,"(4251,'TechCorp','Search','Men 18-24','30 days','Website',0.13,17722,4.74,'Los Angeles','Spanish',178,8376,9,'Health & Wellness','2021-08-24',0.0457998929909042,43.1939252336449)"
4252,NexGen Systems,Social Media,Men 18-24,45 days,Website,0.13,5342,4.41,Chicago,French,728,4737,8,Outdoor Adventurers,25-08-2021,2.13%,99.56,"(4252,'NexGen Systems','Social Media','Men 18-24','45 days','Website',0.13,5342,4.41,'Chicago','French',728,4737,8,'Outdoor Adventurers','2021-08-25',0.021251193887297,99.561797752809)"
4253,Alpha Innovations,Social Media,Men 18-24,15 days,Instagram,0.13,12985,5.34,Chicago,French,295,7353,5,Tech Enthusiasts,26-08-2021,15.37%,7.34,"(4253,'Alpha Innovations','Social Media','Men 18-24','15 days','Instagram',0.13,12985,5.34,'Chicago','French',295,7353,5,'Tech Enthusiasts','2021-08-26',0.153683766096686,7.33791208791209)"
4254,NexGen Systems,Display,Women 35-44,30 days,Instagram,0.13,16492,5.81,Houston,German,622,8754,5,Health & Wellness,27-08-2021,4.01%,44.02,"(4254,'NexGen Systems','Display','Women 35-44','30 days','Instagram',0.13,16492,5.81,'Houston','German',622,8754,5,'Health & Wellness','2021-08-27',0.0401196790425677,44.0169491525424)"
4255,Innovate Industries,Influencer,Men 25-34,45 days,Website,0.12,11417,3.75,Chicago,French,485,3286,6,Tech Enthusiasts,28-08-2021,7.11%,26.51,"(4255,'Innovate Industries','Influencer','Men 25-34','45 days','Website',0.12,11417,3.75,'Chicago','French',485,3286,6,'Tech Enthusiasts','2021-08-28',0.0710532328078593,26.5144694533762)"
4256,TechCorp,Email,Men 25-34,60 days,Google Ads,0.07,6668,2.55,New York,Mandarin,747,2222,9,Health & Wellness,29-08-2021,14.76%,23.54,"(4256,'TechCorp','Email','Men 25-34','60 days','Google Ads',0.07,6668,2.55,'New York','Mandarin',747,2222,9,'Health & Wellness','2021-08-29',0.147595861229458,23.540206185567)"
4257,Alpha Innovations,Social Media,Men 18-24,30 days,Instagram,0.06,10211,2.72,Houston,French,945,5035,1,Tech Enthusiasts,30-08-2021,33.62%,8.93,"(4257,'Alpha Innovations','Social Media','Men 18-24','30 days','Instagram',0.06,10211,2.72,'Houston','French',945,5035,1,'Tech Enthusiasts','2021-08-30',0.336183618361836,8.92637215528782)"
4258,Alpha Innovations,Email,Women 25-34,45 days,Website,0.02,16439,2.76,Miami,Mandarin,898,9450,2,Foodies,31-08-2021,18.77%,10.81,"(4258,'Alpha Innovations','Email','Women 25-34','45 days','Website',0.02,16439,2.76,'Miami','Mandarin',898,9450,2,'Foodies','2021-08-31',0.187686196623635,10.805291005291)"
4259,Alpha Innovations,Display,Men 18-24,45 days,Instagram,0.07,14163,2.73,Miami,Spanish,102,4523,9,Health & Wellness,01-09-2021,9.50%,18.31,"(4259,'Alpha Innovations','Display','Men 18-24','45 days','Instagram',0.07,14163,2.73,'Miami','Spanish',102,4523,9,'Health & Wellness','2021-09-01',0.095026455026455,18.3062360801782)"
4260,NexGen Systems,Email,Women 35-44,30 days,Website,0.09,10612,5.42,Los Angeles,Spanish,940,3661,7,Health & Wellness,02-09-2021,2.26%,138.85,"(4260,'NexGen Systems','Email','Women 35-44','30 days','Website',0.09,10612,5.42,'Los Angeles','Spanish',940,3661,7,'Health & Wellness','2021-09-02',0.0225514039354411,138.852941176471)"
4261,Innovate Industries,Influencer,Men 25-34,15 days,Instagram,0.07,18552,7.22,New York,French,275,6581,7,Outdoor Adventurers,03-09-2021,25.68%,11.29,"(4261,'Innovate Industries','Influencer','Men 25-34','15 days','Instagram',0.07,18552,7.22,'New York','French',275,6581,7,'Outdoor Adventurers','2021-09-03',0.256760447965037,11.2893617021277)"
4262,Alpha Innovations,Social Media,Women 25-34,30 days,Google Ads,0.12,7125,2.36,Houston,French,822,8749,7,Foodies,04-09-2021,4.18%,67.46,"(4262,'Alpha Innovations','Social Media','Women 25-34','30 days','Google Ads',0.12,7125,2.36,'Houston','French',822,8749,7,'Foodies','2021-09-04',0.0417869624677101,67.4618181818182)"
